time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz
2021-11-10 11:7:43.6140,-0.654,-0.001,-0.714,-2.14,-0.6,5.75,0.52,0.55,-1.02
2021-11-10 11:7:43.6250,-0.62,0.004,-0.618,-2.66,-0.92,4.34,0.38,0.55,-1.02
2021-11-10 11:7:43.6350,-0.6,-0.006,-0.547,-3.06,-1.14,3.26,0.19,0.43,-0.92
2021-11-10 11:7:43.6440,-0.59,-0.027,-0.49,-3.27,-1.16,2.43,0.05,0.28,-0.83
2021-11-10 11:7:43.6540,-0.592,-0.062,-0.422,-3.38,-1.08,1.85,0.03,0.18,-0.74
2021-11-10 11:7:43.6640,-0.619,-0.075,-0.364,-3.41,-0.83,1.19,0.1,0.14,-0.64
2021-11-10 11:7:43.6740,-0.661,-0.076,-0.315,-3.23,-0.64,0.55,0.2,0.17,-0.53
2021-11-10 11:7:43.6850,-0.709,-0.075,-0.261,-2.84,-0.68,0.05,0.25,0.33,-0.39
2021-11-10 11:7:43.6940,-0.741,-0.076,-0.23,-2.36,-0.7,-0.52,0.21,0.57,-0.26
2021-11-10 11:7:43.7040,-0.748,-0.086,-0.219,-1.93,-0.74,-1.0,0.08,0.8,-0.16
2021-11-10 11:7:43.7140,-0.741,-0.097,-0.229,-1.76,-0.68,-1.24,-0.12,0.93,-0.09
2021-11-10 11:7:43.7250,-0.733,-0.1,-0.252,-1.74,-0.55,-1.32,-0.39,0.64,-0.01
2021-11-10 11:7:43.7340,-0.748,-0.101,-0.276,-1.83,-0.49,-1.19,-0.39,0.64,-0.01
2021-11-10 11:7:43.7440,-0.774,-0.102,-0.299,-1.74,-0.47,-1.01,-0.4,0.33,0.02
2021-11-10 11:7:43.7540,-0.804,-0.11,-0.308,-1.51,-0.44,-0.78,-0.36,0.11,0.02
2021-11-10 11:7:43.7640,-0.834,-0.123,-0.319,-1.22,-0.38,-0.65,-0.31,0.04,0.02
2021-11-10 11:7:43.7740,-0.86,-0.136,-0.325,-0.93,-0.25,-0.59,-0.28,0.1,0.01
2021-11-10 11:7:43.7840,-0.858,-0.147,-0.333,-0.64,-0.12,-0.5,-0.24,0.25,-0.01
2021-11-10 11:7:43.7940,-0.836,-0.149,-0.351,-0.52,0.03,-0.5,-0.2,0.35,-0.02
2021-11-10 11:7:43.8040,-0.812,-0.158,-0.362,-0.69,0.07,-0.36,-0.14,0.35,-0.02
2021-11-10 11:7:43.8140,-0.795,-0.169,-0.368,-0.9,0.13,-0.25,-0.09,0.31,0.03
2021-11-10 11:7:43.8240,-0.799,-0.18,-0.377,-1.11,0.26,-0.21,-0.08,0.26,0.11
2021-11-10 11:7:43.8330,-0.822,-0.192,-0.387,-1.15,0.38,-0.16,-0.12,0.22,0.21
2021-11-10 11:7:43.8430,-0.849,-0.198,-0.394,-0.97,0.53,-0.09,-0.17,0.21,0.29
2021-11-10 11:7:43.8530,-0.888,-0.189,-0.386,-0.71,0.65,-0.02,-0.2,0.24,0.34
2021-11-10 11:7:43.8630,-0.923,-0.179,-0.389,-0.37,0.65,-0.08,-0.23,0.27,0.35
2021-11-10 11:7:43.8740,-0.938,-0.173,-0.41,0.03,0.59,-0.14,-0.26,0.23,0.2
2021-11-10 11:7:43.8840,-0.956,-0.172,-0.433,0.24,0.54,-0.03,-0.19,0.17,0.11
2021-11-10 11:7:43.8940,-0.971,-0.162,-0.437,0.4,0.54,0.22,-0.19,0.17,0.11
2021-11-10 11:7:43.9040,-0.968,-0.154,-0.453,0.58,0.5,0.29,0.1,-0.16,-0.07
2021-11-10 11:7:43.9140,-0.963,-0.166,-0.462,0.62,0.37,0.4,0.22,-0.3,-0.12
2021-11-10 11:7:43.9240,-0.963,-0.172,-0.449,0.55,0.41,0.59,0.22,-0.3,-0.12
2021-11-10 11:7:43.9330,-0.961,-0.176,-0.432,0.52,0.49,0.56,0.27,-0.33,-0.15
2021-11-10 11:7:43.9440,-0.953,-0.183,-0.419,0.5,0.5,0.41,0.26,-0.28,-0.15
2021-11-10 11:7:43.9530,-0.95,-0.183,-0.41,0.43,0.55,0.3,0.21,-0.18,-0.12
2021-11-10 11:7:43.9630,-0.944,-0.182,-0.407,0.38,0.56,0.19,0.15,-0.05,-0.09
2021-11-10 11:7:43.9740,-0.928,-0.187,-0.403,0.35,0.53,0.15,0.09,0.08,-0.06
2021-11-10 11:7:43.9840,-0.914,-0.187,-0.399,0.23,0.56,0.09,0.03,0.22,-0.02
2021-11-10 11:7:43.9940,-0.902,-0.192,-0.39,0.07,0.58,0.07,0.03,0.22,-0.02
2021-11-10 11:7:44.0040,-0.891,-0.191,-0.401,-0.02,0.6,-0.06,0.02,0.22,-0.04
2021-11-10 11:7:44.0130,-0.884,-0.191,-0.406,-0.14,0.62,-0.03,-0.01,0.14,-0.05
2021-11-10 11:7:44.0230,-0.884,-0.188,-0.399,-0.22,0.6,0.06,-0.02,0.02,-0.05
2021-11-10 11:7:44.0340,-0.88,-0.186,-0.394,-0.25,0.59,0.02,-0.01,-0.09,-0.05
2021-11-10 11:7:44.0430,-0.883,-0.189,-0.398,-0.27,0.55,-0.04,-0.01,-0.17,-0.04
2021-11-10 11:7:44.0530,-0.888,-0.182,-0.404,-0.28,0.56,0.0,-0.01,-0.23,-0.04
2021-11-10 11:7:44.0620,-0.896,-0.177,-0.407,-0.23,0.54,0.08,-0.05,-0.23,-0.07
2021-11-10 11:7:44.0730,-0.915,-0.179,-0.41,-0.19,0.45,0.13,-0.08,-0.22,-0.08
2021-11-10 11:7:44.0840,-0.908,-0.173,-0.401,-0.04,0.47,0.18,-0.08,-0.19,-0.07
2021-11-10 11:7:44.0940,-0.888,-0.172,-0.363,0.03,0.42,0.2,-0.03,-0.1,-0.05
