time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz
2021-11-10 11:6:10.0050,-2.448,1.781,-0.264,12.71,-19.57,-3.76,-2.76,-1.2,9.31
2021-11-10 11:6:10.0150,-2.708,1.81,-0.449,15.5,-19.86,-3.62,-2.66,-1.69,9.13
2021-11-10 11:6:10.0250,-2.988,1.821,-0.561,17.81,-19.6,-1.94,-2.75,-2.16,8.87
2021-11-10 11:6:10.0340,-3.291,1.771,-0.649,20.2,-18.85,-0.33,-2.97,-2.28,8.63
2021-11-10 11:6:10.0450,-3.54,1.691,-0.79,22.96,-17.83,0.6,-3.37,-1.99,8.44
2021-11-10 11:6:10.0530,-3.698,1.65,-0.935,25.67,-16.1,1.98,-3.88,-1.42,8.18
2021-11-10 11:6:10.0640,-3.849,1.551,-1.092,27.49,-14.77,3.56,-4.23,-1.01,7.94
2021-11-10 11:6:10.0740,-3.966,1.411,-1.31,29.09,-13.2,5.13,-4.29,-1.0,7.72
2021-11-10 11:6:10.0840,-4.169,1.2,-1.441,30.52,-11.17,7.34,-3.89,-1.12,7.44
2021-11-10 11:6:10.0950,-4.401,1.029,-1.635,32.21,-8.62,9.25,-3.24,-1.0,7.0
2021-11-10 11:6:10.1040,-4.486,0.865,-1.984,34.97,-6.02,10.74,-2.76,-0.72,6.18
2021-11-10 11:6:10.1130,-4.493,0.665,-2.211,36.54,-4.06,14.04,-2.25,-0.42,5.05
2021-11-10 11:6:10.1240,-4.436,0.522,-2.391,37.08,-1.73,16.99,-1.48,-0.2,3.76
2021-11-10 11:6:10.1330,-4.32,0.41,-2.593,36.91,0.13,18.74,-0.4,-0.29,2.49
2021-11-10 11:6:10.1450,-4.205,0.32,-2.691,36.03,1.43,20.78,0.99,-0.67,1.32
2021-11-10 11:6:10.1530,-4.129,0.227,-2.661,34.83,2.33,22.16,2.58,-1.03,0.34
2021-11-10 11:6:10.1640,-4.094,0.183,-2.563,33.86,3.11,22.18,4.02,-1.08,-0.44
2021-11-10 11:6:10.1750,-4.053,0.185,-2.425,33.32,3.5,21.18,4.99,-0.73,-1.12
2021-11-10 11:6:10.1840,-3.948,0.25,-2.264,32.92,3.31,19.74,5.42,-0.05,-1.75
2021-11-10 11:6:10.1930,-3.766,0.404,-2.148,32.1,2.5,17.88,5.43,0.65,-2.39
2021-11-10 11:6:10.2040,-3.572,0.638,-2.071,30.45,0.91,16.23,5.31,1.0,-3.06
2021-11-10 11:6:10.2130,-3.34,0.835,-2.002,28.48,-1.75,15.1,5.33,0.9,-3.74
2021-11-10 11:6:10.2240,-3.09,0.997,-1.941,26.28,-4.52,14.17,5.6,0.47,-4.45
2021-11-10 11:6:10.2330,-2.873,1.153,-1.865,23.69,-6.87,13.4,6.11,-0.19,-5.15
2021-11-10 11:6:10.2430,-2.714,1.317,-1.789,21.27,-9.22,12.64,6.76,-0.97,-5.84
2021-11-10 11:6:10.2550,-2.591,1.428,-1.674,19.3,-11.73,11.94,7.44,-1.75,-6.44
2021-11-10 11:6:10.2630,-2.439,1.498,-1.566,17.95,-14.05,11.14,7.96,-2.37,-7.0
2021-11-10 11:6:10.2740,-2.292,1.541,-1.46,16.47,-15.89,10.25,8.17,-2.8,-7.49
2021-11-10 11:6:10.2840,-2.131,1.581,-1.327,14.99,-17.43,9.68,8.14,-3.01,-7.89
2021-11-10 11:6:10.2940,-1.945,1.586,-1.229,13.56,-18.88,8.91,7.49,-3.1,-8.28
2021-11-10 11:6:10.3040,-1.744,1.583,-1.133,12.06,-20.04,8.32,7.49,-3.1,-8.28
2021-11-10 11:6:10.3130,-1.552,1.558,-1.025,10.37,-20.9,8.05,7.13,-3.16,-8.24
2021-11-10 11:6:10.3240,-1.359,1.499,-0.941,8.84,-21.6,7.61,6.78,-3.25,-8.06
2021-11-10 11:6:10.3340,-1.196,1.439,-0.853,7.35,-21.81,7.37,6.24,-3.47,-7.47
2021-11-10 11:6:10.3440,-1.042,1.367,-0.768,6.12,-21.82,7.21,6.24,-3.47,-7.47
2021-11-10 11:6:10.3540,-0.857,1.285,-0.708,5.14,-21.67,7.01,5.96,-3.49,-7.17
2021-11-10 11:6:10.3640,-0.663,1.192,-0.652,4.02,-21.3,6.98,5.67,-3.48,-6.93
